db_name,canonical_name,lat,long,checked
605 OHLONE AVE,605 Ohlone Ave,37.8852204,-122.3027025,1
TOUCHLESS,,,,1
1040 JACKSON STREET,1040 Jackson St,37.8845112,-122.3002149,1
300 GOODING WAY,300 Gooding Way,37.88537,-122.3018719,1
0 UNIT-1 FREEBORN,Unit 1 Freeborn Hall,37.8680352,-122.2545825,1
GOLDMAN SCHOOL PUBLIC POLICY,Goldman School of Public Policy,37.8757535,-122.2578444,1
0 LECONTE HALL,LeConte Hall,37.872497,-122.2572678,1
2521 CHANNING WAY,2521 Channing Way,37.8672348,-122.2578788,1
DWINELLE ANNEX,Dwinelle Annex,37.8703395,-122.2612068,1
BAN/TELE,Bancroft/Telegraph,37.868712,-122.259173,1
BANCROFT/TELEGRAPH,Bancroft/Telegraph,37.8666995,-122.2747672,1
PROJECT 29A,,,,1
CKC-9,Clark Kerr Campus Building 9,37.8638051,-122.24936,1
0 CENTENNIAL DR,Centennial Dr,37.8793463,-122.2458043,1
LEWIS HALL,Lewis Hall,37.8730663,-122.255193,1
CKC-10,Clark Kerr Campus Building 10,37.8638051,-122.24936,1
HAAS CLUBHOUSE POOL,"Berkeley, CA, USA",37.8715926,-122.272747,1
NORTH GATE,North Gate Hall,37.8749998,-122.2596684,1
2334 BOWDITCH ST,2334 Bowditch St,37.8669519,-122.2565397,1
FOOTHILL-6,Foothill Building 6,37.8743169,-122.2543218,1
0 EVANS HALL,Evans Hall,37.8736514,-122.2577944,1
0 SPACE SCIENCES,Space Sciences Laboratory,37.8805941,-122.2447958,1
BIKE BUREAU,"Berkeley, CA, USA",37.8715926,-122.272747,1
755 OHLONE AVE,755 Ohlone Ave,37.8855338,-122.3016485,1
FOOTHILL-2,Foothill Building 2,37.8763325,-122.2565547,1
0 ROCHDALE VILLAGE,Rochdale Village Apartments,37.8656691,-122.2599053,1
STRUCTURE B,,,,1
2200 BANCROFT WAY,2200 Bancroft Way,37.867428,-122.2655774,1
FENWICK WEAVERS,Fenwick Weavers Village,37.8655988,-122.2605589,1
BANCROFT LIBRARY,Bancroft Library,37.8722012,-122.2586975,1
WITTER FIELD LOT,Witter Field,37.8711896,-122.248727,1
FACULTY GLADE,Faculty Glade,37.8713828,-122.2566152,1
UVA-168,University Village,37.8849256,-122.3010808,1
0 RIMWAY ROAD,"Stadium Rim Way, Berkeley, CA, USA",37.8722193,-122.2512802,1
0 ZELLERBACH HALL,Zellerbach Hall,37.8690998,-122.260838,1
FOOTHILL-8,Foothill Building 8,37.8743169,-122.2543218,1
0 BARKER HALL,Barker Hall,37.8739795,-122.2654404,1
FOOTHILL-4,Foothill Building 4,37.87538,-122.2561211,1
1051 MONROE STREET,1051 Monroe St,37.8843821,-122.2993269,1
CHANNING CIR,Channing Circle,37.867791,-122.251912,1
0 KROEBER HALL,Kroeber Hall,37.869853,-122.2551518,1
LBNL-76,Lawrence Berkeley National Laboratory,37.8754404,-122.2455364,1
WELLMAN HALL,Wellman Hall,37.8731726,-122.2627881,1
SOUTH HALL,South Hall,37.8714319,-122.2584987,1
CKC-11,Clark Kerr Campus Building 11,37.8638051,-122.24936,1
2850 TELEGRAPH AV,2850 Telegraph Ave,37.8582624,-122.2597806,1
STRAWBERRY REC CENTER,Strawberry Canyon Center,37.8714271,-122.247278,1
UVA-161,University Village,37.8849256,-122.3010808,1
UNIVERSITY DR,University Dr,37.8731833,-122.2587863,1
HEARST MINING BUILDING,Hearst Memorial Mining Building,37.8744829,-122.2572541,1
OBRIEN HALL,O'Brien Hall,37.8744045,-122.2590432,1
2440 BANCROFT WAY,2440 Bancroft Way,37.8684064,-122.2605113,1
CKC TRACK,Clark Kerr Track,37.8648156,-122.2457136,1
2535 CHANNING WAY,Channing-Bowditch Apartments,37.8673656,-122.2573096,1
0 LATIMER HALL,Latimer Hall,37.8731064,-122.2559915,1
BANC TELE,Bancroft/Telegraph,37.868717,-122.259155,1
GILMAN HALL,Gilman Hall,37.8726546,-122.2563024,1
0 MCCONE HALL,McCone Hall,37.8740981,-122.2596515,1
RIM/GAYLEY,Rim Way and Gayley Avenue,37.8725667,-122.253758,1
CKC-22,Clark Kerr Campus Building 22,37.8638051,-122.24936,1
1125 JACKSON STREET,1125 Jackson St,37.8833963,-122.2995862,1
300 LAKESIDE DR,"3838 Hollis St #300, Emeryville, CA 94608, USA",37.8287398,-122.2818705,1
685 LIBERTY SHIP WAY,"Liberty Ship, Albany, CA 94706, USA",37.8840184,-122.3044786,1
BANWAY,Banway Building,37.8678967,-122.2668872,1
0 UNIT-2 TOWLE,Unit 2 Towle Hall,37.8663429,-122.2546476,1
PAULEY BALLROOM,Martin Luther King Jr Student Union,37.8692195,-122.2596727,1
